"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70","Mini App загружается и имеет <title>","tests.miniapp","Fri Aug 14 11:41:41 UTC 2026","passed","Fri Aug 14 11:41:41 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","126","GET /api/user/{uid} без initData тоже возвращает 403","tests.backend","Fri Aug 14 11:41:26 UTC 2026","passed","Fri Aug 14 11:41:26 UTC 2026","TestBackendUser","test_user","",""
"","510","Валидация заголовков ответа","tests.api","Fri Aug 14 11:41:24 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestLandingHTTP","test_web_landing","",""
"","209","Возврат на Home после навигации","tests.miniapp","Fri Aug 14 11:42:21 UTC 2026","passed","Fri Aug 14 11:42:21 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","6567","Hero-CTA расположена после H1 и ведёт на регистрацию","tests.ui","Fri Aug 14 11:42:51 UTC 2026","passed","Fri Aug 14 11:42:58 UTC 2026","TestLandingUI","test_landing_ui","",""
"","6241","Hero-блок: заголовок H1 виден и содержит ключевой текст","tests.ui","Fri Aug 14 11:42:33 UTC 2026","passed","Fri Aug 14 11:42:39 UTC 2026","TestLandingUI","test_landing_ui","",""
"","146","Навигация: тап по PROXY открывает страницу бесплатного прокси","tests.miniapp","Fri Aug 14 11:42:17 UTC 2026","passed","Fri Aug 14 11:42:17 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","316","Проверка негативных сценариев с параметризацией","tests.api","Fri Aug 14 11:41:24 UTC 2026","passed","Fri Aug 14 11:41:24 UTC 2026","TestLandingHTTP","test_web_landing","",""
"","147","Проверка негативных сценариев с параметризацией","tests.api","Fri Aug 14 11:41:24 UTC 2026","passed","Fri Aug 14 11:41:24 UTC 2026","TestLandingHTTP","test_web_landing","",""
"","126","План оплаты передаётся корректно (контракт тела запроса)","tests.backend","Fri Aug 14 11:41:25 UTC 2026","passed","Fri Aug 14 11:41:26 UTC 2026","TestBackendPayments","test_payments","",""
"","158","На странице тарифов — 4 плана","tests.miniapp","Fri Aug 14 11:42:08 UTC 2026","passed","Fri Aug 14 11:42:08 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","126","POST /api/invoice с невалидным initData отклоняется","tests.backend","Fri Aug 14 11:41:25 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestBackendPayments","test_payments","",""
"","24","Список серверов отображается на Home (>=7)","tests.miniapp","Fri Aug 14 11:41:59 UTC 2026","passed","Fri Aug 14 11:41:59 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","6283","На лендинге есть видимая ссылка на регистрацию в кабинете","tests.ui","Fri Aug 14 11:42:42 UTC 2026","passed","Fri Aug 14 11:42:48 UTC 2026","TestLandingUI","test_landing_ui","",""
"","1570","Проверка доступности главной страницы","tests.api","Fri Aug 14 11:41:21 UTC 2026","passed","Fri Aug 14 11:41:23 UTC 2026","TestLandingHTTP","test_web_landing","",""
"","27","Нижний навбар присутствует","tests.miniapp","Fri Aug 14 11:41:55 UTC 2026","passed","Fri Aug 14 11:41:55 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","40","По умолчанию открыта страница Home","tests.miniapp","Fri Aug 14 11:41:46 UTC 2026","passed","Fri Aug 14 11:41:46 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","5956","Каркас страницы: header, nav и footer на месте","tests.ui","Fri Aug 14 11:43:10 UTC 2026","passed","Fri Aug 14 11:43:16 UTC 2026","TestLandingUI","test_landing_ui","",""
"","63","Шапка: бренд и слоган видны","tests.miniapp","Fri Aug 14 11:41:51 UTC 2026","passed","Fri Aug 14 11:41:51 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","127","POST /api/withdraw без валидной авторизации отклоняется","tests.backend","Fri Aug 14 11:41:26 UTC 2026","passed","Fri Aug 14 11:41:26 UTC 2026","TestBackendWithdrawal","test_withdrawal","",""
"","125","/api/auth без initData тоже отклоняется","tests.backend","Fri Aug 14 11:41:25 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestBackendAuth","test_auth","",""
"Smoke: если API лежит, мы получим не 400, а таймаут/коннекшн-ошибку.","445","API доступно: /api/auth возвращает 400 на пустой initData","tests.backend","Fri Aug 14 11:41:24 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestBackendAuth","test_auth","",""
"","207","Навигация: тап по PLANS открывает страницу тарифов","tests.miniapp","Fri Aug 14 11:42:04 UTC 2026","passed","Fri Aug 14 11:42:04 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","2225","Лендинг корректно отображается в мобильном вьюпорте","tests.ui","Fri Aug 14 11:43:19 UTC 2026","passed","Fri Aug 14 11:43:22 UTC 2026","TestLandingUI","test_landing_ui","",""
"","6759","Страница имеет осмысленный <title> с брендом","tests.ui","Fri Aug 14 11:42:24 UTC 2026","passed","Fri Aug 14 11:42:31 UTC 2026","TestLandingUI","test_landing_ui","",""
"","126","/api/auth с невалидным initData возвращает 400 и ошибку валидации","tests.backend","Fri Aug 14 11:41:25 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestBackendAuth","test_auth","",""
"","169","Навигация: тап по EARN открывает реферальную страницу","tests.miniapp","Fri Aug 14 11:42:12 UTC 2026","passed","Fri Aug 14 11:42:12 UTC 2026","TestMiniAppUI","test_miniapp_ui","",""
"","127","GET /api/device_sub/{uid}/{num} требует авторизации","tests.backend","Fri Aug 14 11:41:25 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestBackendDeviceSub","test_device_sub","",""
"","126","GET /api/user/{uid} с невалидным initData возвращает 403","tests.backend","Fri Aug 14 11:41:26 UTC 2026","passed","Fri Aug 14 11:41:26 UTC 2026","TestBackendUser","test_user","",""
"","156","Корневой путь перенаправляет на русскую локаль","tests.api","Fri Aug 14 11:41:24 UTC 2026","passed","Fri Aug 14 11:41:24 UTC 2026","TestLandingHTTP","test_web_landing","",""
"","6759","На странице есть ссылка на Telegram-бота поддержки","tests.ui","Fri Aug 14 11:43:01 UTC 2026","passed","Fri Aug 14 11:43:07 UTC 2026","TestLandingUI","test_landing_ui","",""
"","126","POST /api/sbp с невалидным initData отклоняется","tests.backend","Fri Aug 14 11:41:25 UTC 2026","passed","Fri Aug 14 11:41:25 UTC 2026","TestBackendPayments","test_payments","",""
"","547","Проверка времени отклика главной страницы","tests.api","Fri Aug 14 11:41:23 UTC 2026","passed","Fri Aug 14 11:41:24 UTC 2026","TestLandingHTTP","test_web_landing","",""
